List all the ‘Comedy’ movies released between 1986 and 2016?
select name,genre,year from movies where year>1986 and year<2016 and genre=Comedy;
                                        name                                         | genre  | year 
-------------------------------------------------------------------------------------+--------+------
 Boyfriends and Girlfriends                                                          | Comedy | 1987
 Four Adventures of Reinette and Mirabelle                                           | Comedy | 1987
 A Tale of Springtime                                                                | Comedy | 1990
 A Summer's Tale                                                                     | Comedy | 1996
 Date Movie                                                                          | Comedy | 2006
 Dirty Girl                                                                          | Comedy | 2010
 It's Pat: the Movie                                                                 | Comedy | 1994
 Definitely, Maybe                                                                   | Comedy | 2008
 Hatchet                                                                             | Comedy | 2006
 Anchorman: The Legend of Ron Burgundy                                               | Comedy | 2004
 Talladega Nights: the Ballad of Ricky Bobby                                         | Comedy | 2006
 Step Brothers                                                                       | Comedy | 2008
 Anchorman 2: the Legend Continues                                                   | Comedy | 2013
 Detroit Rock City                                                                   | Comedy | 1999
 The Wedding Planner                                                                 | Comedy | 2001
 Bringing Down the House                                                             | Comedy | 2003
 Hairspray                                                                           | Comedy | 2007
 Rock of Ages                                                                        | Comedy | 2012
 Big Stone Gap                                                                       | Comedy | 2014
 Waitress                                                                            | Comedy | 2007
 Hot Rod                                                                             | Comedy | 2007
 The Watch                                                                           | Comedy | 2012
 A New Life                                                                          | Comedy | 1988
 Betsy's Wedding                                                                     | Comedy | 1990
 Rita, Sue and Bob Too                                                               | Comedy | 1987
 Dead Man on Campus                                                                  | Comedy | 1998
 The Anniversary Party                                                               | Comedy | 2001
 Moving                                                                              | Comedy | 1988
 Police Academy: Mission to Moscow                                                   | Comedy | 1994
 Police Academy 5: Assignment: Miami Beach                                           | Comedy | 1988
 The Commitments                                                                     | Comedy | 1991
 The Road to Wellville                                                               | Comedy | 1994
 The Back-up Plan                                                                    | Comedy | 2010
 Made in Heaven                                                                      | Comedy | 1987
 Love at Large                                                                       | Comedy | 1990
 Breakfast of Champions                                                              | Comedy | 1999
 Defending Your Life                                                                 | Comedy | 1991
 Birdman or (The Unexpected Virtue of Ignorance)                                     | Comedy | 2014
 With Honors                                                                         | Comedy | 1994
 A Good Old Fashioned Orgy                                                           | Comedy | 2011
 People Like Us                                                                      | Comedy | 2012
 Citizen Ruth                                                                        | Comedy | 1996
 Election                                                                            | Comedy | 1999
 About Schmidt                                                                       | Comedy | 2002
 Sideways                                                                            | Comedy | 2004
 The Descendants                                                                     | Comedy | 2011
 Piranha 3D                                                                          | Comedy | 2010
 Horns                                                                               | Comedy | 2013
 In the Soup                                                                         | Comedy | 1992
 SÃ³lo con tu pareja                                                                 | Comedy | 1991
 Me and Earl and the Dying Girl                                                      | Comedy | 2015
 Saving Face                                                                         | Comedy | 2004
 Caddyshack II                                                                       | Comedy | 1988
 Pump Up the Volume                                                                  | Comedy | 1990
 The Gun in Betty Lou's Handbag                                                      | Comedy | 1992
 Empire Records                                                                      | Comedy | 1995
 Grace of My Heart                                                                   | Comedy | 1996
 Look Who's Talking                                                                  | Comedy | 1989
 Look Who's Talking Too                                                              | Comedy | 1990
 Clueless                                                                            | Comedy | 1995
 Loser                                                                               | Comedy | 2000
 Vamps                                                                               | Comedy | 2012
 Leap Year                                                                           | Comedy | 2010
 The Green Butchers                                                                  | Comedy | 2003
 Adam's Apples                                                                       | Comedy | 2005
 Men & Chicken                                                                       | Comedy | 2015
 The Freshman                                                                        | Comedy | 1990
 Honeymoon in Vegas                                                                  | Comedy | 1992
 It Could Happen to You                                                              | Comedy | 1994
 Striptease                                                                          | Comedy | 1996
 Pride and Prejudice                                                                 | Comedy | 2003
 Threesome                                                                           | Comedy | 1994
 Dick                                                                                | Comedy | 1999
 Nancy Drew                                                                          | Comedy | 2007
 Barefoot                                                                            | Comedy | 2014
 S1m0ne                                                                              | Comedy | 2002
 Little Big League                                                                   | Comedy | 1994
 Leave It to Beaver                                                                  | Comedy | 1997
 Chasing Liberty                                                                     | Comedy | 2004
 She's the Man                                                                       | Comedy | 2006
 The Game Plan                                                                       | Comedy | 2007
 You Again                                                                           | Comedy | 2010
 Parental Guidance                                                                   | Comedy | 2012
 It Takes Two                                                                        | Comedy | 1995
 Fools Rush In                                                                       | Comedy | 1997
 Ever After: A Cinderella Story                                                      | Comedy | 1998
 Sweet Home Alabama                                                                  | Comedy | 2002
 Hitch                                                                               | Comedy | 2005
 The Wedding Banquet                                                                 | Comedy | 1993
 Eat Drink Man Woman                                                                 | Comedy | 1994
 It's Kind of a Funny Story                                                          | Comedy | 2010
 Mississippi Grind                                                                   | Comedy | 2015
 27 Dresses                                                                          | Comedy | 2008
 The Proposal                                                                        | Comedy | 2009
 The Guilt Trip                                                                      | Comedy | 2012
 Better Than Chocolate                                                               | Comedy | 1999
 Pumpkin                                                                             | Comedy | 2002
 Hurlyburly                                                                          | Comedy | 1998
 Waxwork                                                                             | Comedy | 1988
 Truly Madly Deeply                                                                  | Comedy | 1990
 Mr. Wonderful                                                                       | Comedy | 1993
 You, Me and Dupree                                                                  | Comedy | 2006
 An American Werewolf in Paris                                                       | Comedy | 1997
 Mad Love                                                                            | Comedy | 1995
 Crazy in Alabama                                                                    | Comedy | 1999
 Barfi!                                                                              | Comedy | 2012
 The DUFF                                                                            | Comedy | 2015
 The Chumscrubber                                                                    | Comedy | 2005
 A Very Brady Sequel                                                                 | Comedy | 1996
 I'll Be Home for Christmas                                                          | Comedy | 1998
 In the Loop                                                                         | Comedy | 2009
 Cross My Heart                                                                      | Comedy | 1987
 Outrageous Fortune                                                                  | Comedy | 1987
 See No Evil, Hear No Evil                                                           | Comedy | 1989
 Taking Care of Business                                                             | Comedy | 1990
 Carpool                                                                             | Comedy | 1996
 Drop Dead Fred                                                                      | Comedy | 1991
 The Adjuster                                                                        | Comedy | 1991
 Under the Tuscan Sun                                                                | Comedy | 2003
 Barfly                                                                              | Comedy | 1987
 The Mirror Has Two Faces                                                            | Comedy | 1996
 Straight Talk                                                                       | Comedy | 1992
 Tin Men                                                                             | Comedy | 1987
 Wag the Dog                                                                         | Comedy | 1997
 Liberty Heights                                                                     | Comedy | 1999
 Bandits                                                                             | Comedy | 2001
 Envy                                                                                | Comedy | 2004
 What Just Happened                                                                  | Comedy | 2008
 Rock the Kasbah                                                                     | Comedy | 2015
 Mistress                                                                            | Comedy | 1992
 Mean Machine                                                                        | Comedy | 2001
 The Addams Family                                                                   | Comedy | 1991
 Addams Family Values                                                                | Comedy | 1993
 For Love or Money                                                                   | Comedy | 1993
 Get Shorty                                                                          | Comedy | 1995
 Big Trouble                                                                         | Comedy | 2002
 The Ringer                                                                          | Comedy | 2005
 Strictly Ballroom                                                                   | Comedy | 1992
 To Wong Foo Thanks for Everything, Julie Newmar                                     | Comedy | 1995
 The Idiots                                                                          | Comedy | 1998
 Bridget Jones: The Edge of Reason                                                   | Comedy | 2004
 Tammy                                                                               | Comedy | 2014
 The Inbetweeners                                                                    | Comedy | 2011
 Reality Bites                                                                       | Comedy | 1994
 The Cable Guy                                                                       | Comedy | 1996
 Zoolander                                                                           | Comedy | 2001
 Prime                                                                               | Comedy | 2005
 Factotum                                                                            | Comedy | 2005
 Meet Bill                                                                           | Comedy | 2007
 Too Beautiful for You                                                               | Comedy | 1989
 The Brady Bunch Movie                                                               | Comedy | 1995
 Doctor Dolittle                                                                     | Comedy | 1998
 28 Days                                                                             | Comedy | 2000
 John Tucker Must Die                                                                | Comedy | 2006
 Miss Pettigrew Lives for a Day                                                      | Comedy | 2008
 JamÃ³n, JamÃ³n                                                                      | Comedy | 1992
 Two If by Sea                                                                       | Comedy | 1996
 Ed                                                                                  | Comedy | 1996
 A Rage in Harlem                                                                    | Comedy | 1991
 Sister Act 2: Back in the Habit                                                     | Comedy | 1993
 Beautiful Creatures                                                                 | Comedy | 2000
 Tapeheads                                                                           | Comedy | 1988
 Housekeeping                                                                        | Comedy | 1987
 Being Human                                                                         | Comedy | 1994
 Return to Horror High                                                               | Comedy | 1987
 Beauty Shop                                                                         | Comedy | 2005
 Mr. Saturday Night                                                                  | Comedy | 1992
 Forget Paris                                                                        | Comedy | 1995
 Scotland, Pa.                                                                       | Comedy | 2001
 Blind Date                                                                          | Comedy | 1987
 Skin Deep                                                                           | Comedy | 1989
 Switch                                                                              | Comedy | 1991
 Son of the Pink Panther                                                             | Comedy | 1993
 Uptown Girls                                                                        | Comedy | 2003
 Parents                                                                             | Comedy | 1989
 My Boyfriend's Back                                                                 | Comedy | 1993
 From the Hip                                                                        | Comedy | 1987
 My Summer Story                                                                     | Comedy | 1994
 Baby Geniuses                                                                       | Comedy | 1999
 Superbabies: Baby Geniuses 2                                                        | Comedy | 2004
